CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 3 ; Serial number 0"
DESCRIPTOR	"patchs_2871"
FILTER	""
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-08-25T10:06:24"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	2871
BEGIN_DATA
134	"134"	   56.00	   42.00	   56.00	
135	"135"	  168.00	  140.00	  112.00	
136	"136"	   98.00	   42.00	   70.00	
137	"137"	   28.00	  224.00	  224.00	
138	"138"	  238.00	  126.00	  126.00	
139	"139"	   14.00	  154.00	  182.00	
140	"140"	  126.00	  126.00	  154.00	
141	"141"	  182.00	  154.00	   70.00	
142	"142"	  126.00	   98.00	  182.00	
143	"143"	  182.00	   14.00	   14.00	
144	"144"	  154.00	   42.00	  126.00	
145	"145"	   14.00	   98.00	  238.00	
146	"146"	  126.00	   42.00	   70.00	
147	"147"	  182.00	  154.00	   98.00	
148	"148"	  161.00	  161.00	  161.00	
149	"149"	  182.00	  126.00	   42.00	
150	"150"	  154.00	  182.00	  210.00	
151	"151"	  126.00	  182.00	  182.00	
152	"152"	   84.00	   84.00	  196.00	
153	"153"	   98.00	   70.00	  210.00	
154	"154"	   56.00	   28.00	  255.00	
155	"155"	  168.00	  168.00	   28.00	
156	"156"	   28.00	  255.00	    0.00	
157	"157"	  154.00	   70.00	   14.00	
158	"158"	   84.00	   84.00	   56.00	
159	"159"	   77.00	   70.00	   77.00	
160	"160"	  210.00	  154.00	   42.00	
161	"161"	  255.00	  255.00	   56.00	
162	"162"	   56.00	    0.00	  168.00	
163	"163"	  140.00	   56.00	  112.00	
164	"164"	  231.00	  231.00	  231.00	
165	"165"	  126.00	   70.00	  126.00	
166	"166"	  210.00	  154.00	   70.00	
167	"167"	  196.00	   84.00	  112.00	
168	"168"	  210.00	  182.00	   14.00	
169	"169"	  224.00	   84.00	    0.00	
170	"170"	    0.00	   56.00	   56.00	
171	"171"	  217.00	  217.00	  217.00	
172	"172"	  210.00	  182.00	   98.00	
173	"173"	   56.00	  255.00	    0.00	
174	"174"	  210.00	   42.00	  126.00	
175	"175"	  154.00	  147.00	  154.00	
176	"176"	  210.00	   42.00	  182.00	
177	"177"	  182.00	  238.00	   98.00	
178	"178"	  182.00	   14.00	  126.00	
179	"179"	  224.00	  168.00	  255.00	
180	"180"	    0.00	    0.00	  112.00	
181	"181"	   70.00	   42.00	  126.00	
182	"182"	  126.00	  182.00	   14.00	
183	"183"	  182.00	  154.00	  182.00	
184	"184"	  255.00	   84.00	   28.00	
185	"185"	    0.00	   56.00	  168.00	
186	"186"	   42.00	   70.00	  238.00	
187	"187"	  154.00	  126.00	   98.00	
188	"188"	  168.00	  196.00	  196.00	
189	"189"	  196.00	   56.00	    0.00	
190	"190"	   42.00	   42.00	   28.00	
191	"191"	    0.00	  140.00	  168.00	
192	"192"	    0.00	  112.00	    0.00	
193	"193"	   98.00	  126.00	   98.00	
194	"194"	  182.00	   14.00	  210.00	
195	"195"	  224.00	  196.00	   28.00	
196	"196"	  255.00	   56.00	  255.00	
197	"197"	   84.00	  112.00	    0.00	
198	"198"	   14.00	   98.00	   98.00	
199	"199"	  112.00	  140.00	  196.00	
200	"200"	  210.00	  154.00	  238.00	
201	"201"	   84.00	   98.00	   84.00	
202	"202"	  255.00	   56.00	   28.00	
203	"203"	   56.00	    0.00	  224.00	
204	"204"	  126.00	   42.00	  238.00	
205	"205"	  238.00	  182.00	   98.00	
206	"206"	  238.00	  154.00	   42.00	
207	"207"	   42.00	   14.00	   98.00	
208	"208"	   70.00	  238.00	  182.00	
209	"209"	  196.00	   28.00	   84.00	
210	"210"	   56.00	   56.00	    0.00	
211	"211"	  126.00	  112.00	  112.00	
212	"212"	  255.00	  255.00	  255.00	
213	"213"	    0.00	  224.00	  168.00	
214	"214"	  154.00	  126.00	  126.00	
215	"215"	  140.00	  168.00	  112.00	
216	"216"	  255.00	  255.00	    0.00	
217	"217"	  168.00	  112.00	  168.00	
218	"218"	  224.00	   56.00	  140.00	
219	"219"	   56.00	  140.00	    0.00	
220	"220"	  210.00	   42.00	  238.00	
221	"221"	   84.00	  224.00	   28.00	
222	"222"	   14.00	   98.00	   42.00	
223	"223"	  168.00	   56.00	    0.00	
224	"224"	  140.00	  255.00	   56.00	
225	"225"	  168.00	    0.00	    0.00	
226	"226"	   14.00	   42.00	  126.00	
227	"227"	   14.00	   14.00	  210.00	
228	"228"	  112.00	  112.00	   56.00	
229	"229"	   70.00	   98.00	  182.00	
230	"230"	  140.00	   56.00	  168.00	
231	"231"	   56.00	   70.00	   70.00	
232	"232"	   84.00	    0.00	  255.00	
233	"233"	   28.00	   28.00	   14.00	
234	"234"	  224.00	  196.00	   84.00	
235	"235"	  168.00	  161.00	  168.00	
236	"236"	  140.00	  255.00	  140.00	
237	"237"	  224.00	  196.00	    0.00	
238	"238"	    0.00	  112.00	  140.00	
239	"239"	   70.00	  126.00	   70.00	
240	"240"	  140.00	  126.00	  140.00	
241	"241"	  238.00	  238.00	  182.00	
242	"242"	   28.00	   28.00	  224.00	
243	"243"	  140.00	  168.00	  224.00	
244	"244"	   98.00	   14.00	   98.00	
245	"245"	   84.00	   84.00	  140.00	
246	"246"	  196.00	  168.00	  112.00	
247	"247"	   98.00	   98.00	  112.00	
248	"248"	  140.00	    0.00	  112.00	
249	"249"	   28.00	   28.00	   28.00	
250	"250"	   42.00	  154.00	  182.00	
251	"251"	  168.00	  224.00	  255.00	
252	"252"	   14.00	   70.00	  238.00	
253	"253"	   14.00	   14.00	   14.00	
254	"254"	    0.00	  168.00	  196.00	
255	"255"	   70.00	   70.00	  238.00	
256	"256"	   84.00	  224.00	  196.00	
257	"257"	  196.00	  255.00	  140.00	
258	"258"	    0.00	  168.00	  224.00	
259	"259"	  182.00	  154.00	   42.00	
260	"260"	    0.00	   28.00	  112.00	
261	"261"	  126.00	   14.00	   98.00	
262	"262"	   70.00	  238.00	   98.00	
263	"263"	  126.00	  154.00	  238.00	
264	"264"	   42.00	  126.00	  210.00	
265	"265"	  196.00	  196.00	  255.00	
266	"266"	   56.00	   28.00	  224.00	
267	"267"	  126.00	   70.00	   98.00	
268	"268"	   98.00	  126.00	  126.00	
269	"269"	   42.00	   42.00	  182.00	
270	"270"	  112.00	    0.00	  255.00	
271	"271"	  168.00	   56.00	  196.00	
272	"272"	  112.00	   84.00	  255.00	
273	"273"	   56.00	   84.00	  224.00	
274	"274"	  210.00	   42.00	   14.00	
275	"275"	    0.00	  140.00	   84.00	
276	"276"	   84.00	   28.00	  140.00	
277	"277"	    0.00	    0.00	   84.00	
278	"278"	   56.00	  140.00	   56.00	
279	"279"	  255.00	  140.00	   84.00	
280	"280"	  168.00	    0.00	  140.00	
281	"281"	  112.00	   56.00	  140.00	
282	"282"	   84.00	  112.00	  255.00	
283	"283"	  238.00	  126.00	  210.00	
284	"284"	  255.00	  112.00	  224.00	
285	"285"	  126.00	   14.00	   42.00	
286	"286"	  154.00	   98.00	   14.00	
287	"287"	  255.00	  255.00	  255.00	
288	"288"	  154.00	  210.00	  126.00	
289	"289"	  112.00	  112.00	  140.00	
290	"290"	  126.00	   98.00	  210.00	
291	"291"	   42.00	   42.00	   70.00	
292	"292"	  224.00	   28.00	  140.00	
293	"293"	  255.00	  168.00	    0.00	
294	"294"	  196.00	   56.00	  196.00	
295	"295"	   14.00	  154.00	  126.00	
296	"296"	   56.00	   84.00	  255.00	
297	"297"	  210.00	   14.00	   42.00	
298	"298"	   84.00	   28.00	   28.00	
299	"299"	  196.00	   84.00	   56.00	
300	"300"	   42.00	  182.00	   14.00	
301	"301"	   28.00	  255.00	  196.00	
302	"302"	  112.00	   84.00	   56.00	
303	"303"	  140.00	  168.00	  255.00	
304	"304"	  196.00	   84.00	  140.00	
305	"305"	    0.00	  196.00	   28.00	
306	"306"	  175.00	  175.00	  175.00	
307	"307"	  224.00	   56.00	   28.00	
308	"308"	   70.00	   56.00	   56.00	
309	"309"	  224.00	    0.00	   56.00	
310	"310"	    0.00	   56.00	  112.00	
311	"311"	  112.00	   56.00	  112.00	
312	"312"	  161.00	  154.00	  161.00	
313	"313"	   14.00	   14.00	    0.00	
314	"314"	   98.00	  154.00	  238.00	
315	"315"	  224.00	  196.00	   56.00	
316	"316"	   56.00	  112.00	  255.00	
317	"317"	   28.00	   28.00	    0.00	
318	"318"	   70.00	   14.00	  126.00	
319	"319"	  112.00	    0.00	  196.00	
320	"320"	   56.00	  255.00	   84.00	
321	"321"	  168.00	  168.00	  224.00	
322	"322"	   28.00	   28.00	  168.00	
323	"323"	   84.00	  140.00	  112.00	
324	"324"	  154.00	   98.00	  154.00	
325	"325"	   84.00	  112.00	   56.00	
326	"326"	  196.00	  255.00	   28.00	
327	"327"	  189.00	  182.00	  189.00	
328	"328"	  238.00	   42.00	   70.00	
329	"329"	  210.00	  126.00	  126.00	
330	"330"	   98.00	  154.00	  182.00	
331	"331"	  112.00	  255.00	  140.00	
332	"332"	  255.00	  196.00	   84.00	
333	"333"	   28.00	  255.00	   56.00	
334	"334"	  210.00	  238.00	  154.00	
335	"335"	  112.00	   56.00	  224.00	
336	"336"	   28.00	   84.00	  168.00	
337	"337"	   98.00	  238.00	  154.00	
338	"338"	  182.00	  238.00	  126.00	
339	"339"	  255.00	  112.00	  140.00	
340	"340"	  168.00	  168.00	  255.00	
341	"341"	   56.00	  255.00	  196.00	
342	"342"	  196.00	  196.00	   28.00	
343	"343"	  196.00	  196.00	   84.00	
344	"344"	  196.00	  168.00	  224.00	
345	"345"	    0.00	    0.00	  140.00	
346	"346"	  168.00	   56.00	   28.00	
347	"347"	   56.00	  112.00	    0.00	
348	"348"	  112.00	  168.00	  140.00	
349	"349"	  168.00	   28.00	  168.00	
350	"350"	  255.00	  255.00	  168.00	
351	"351"	   42.00	  182.00	  210.00	
352	"352"	   84.00	   28.00	  196.00	
353	"353"	   98.00	  126.00	   14.00	
354	"354"	  210.00	  182.00	  182.00	
355	"355"	   84.00	  112.00	  168.00	
356	"356"	  154.00	  210.00	   14.00	
357	"357"	  168.00	  112.00	  140.00	
358	"358"	  126.00	   70.00	  210.00	
359	"359"	   84.00	   77.00	   84.00	
360	"360"	  140.00	  224.00	   28.00	
361	"361"	   42.00	   14.00	  126.00	
362	"362"	  140.00	    0.00	  140.00	
363	"363"	   14.00	  210.00	  238.00	
364	"364"	  255.00	  255.00	  255.00	
365	"365"	  154.00	  126.00	  182.00	
366	"366"	   98.00	   42.00	  182.00	
367	"367"	   70.00	  182.00	  182.00	
368	"368"	   14.00	  126.00	  154.00	
369	"369"	  210.00	   42.00	   98.00	
370	"370"	  255.00	  140.00	  224.00	
371	"371"	  196.00	   84.00	  168.00	
372	"372"	  154.00	  238.00	   70.00	
373	"373"	    0.00	   28.00	  140.00	
374	"374"	  238.00	  154.00	  154.00	
375	"375"	   28.00	  168.00	  255.00	
376	"376"	  154.00	  154.00	   70.00	
377	"377"	   70.00	  238.00	   70.00	
378	"378"	  112.00	  140.00	  140.00	
379	"379"	  140.00	  255.00	  224.00	
380	"380"	  255.00	  224.00	  140.00	
381	"381"	  154.00	  168.00	  154.00	
382	"382"	  224.00	   84.00	   28.00	
383	"383"	   84.00	   28.00	   56.00	
384	"384"	   14.00	  126.00	   70.00	
385	"385"	  140.00	  140.00	  168.00	
386	"386"	  168.00	   56.00	  224.00	
387	"387"	   42.00	  210.00	   70.00	
388	"388"	    0.00	   14.00	    0.00	
389	"389"	   84.00	   84.00	  168.00	
390	"390"	   77.00	   84.00	   77.00	
391	"391"	   42.00	   14.00	  210.00	
392	"392"	   14.00	  210.00	   98.00	
393	"393"	  196.00	   84.00	    0.00	
394	"394"	   84.00	   56.00	    0.00	
395	"395"	  126.00	  238.00	  182.00	
396	"396"	  182.00	   14.00	  154.00	
397	"397"	    0.00	  112.00	  224.00	
398	"398"	  224.00	  140.00	  255.00	
399	"399"	   42.00	  238.00	   14.00	
400	"400"	   70.00	  210.00	  126.00	
401	"401"	   70.00	  238.00	   42.00	
402	"402"	  238.00	   42.00	   14.00	
403	"403"	  224.00	  140.00	  140.00	
404	"404"	  255.00	  224.00	  255.00	
405	"405"	   84.00	  140.00	   28.00	
406	"406"	  126.00	   98.00	   42.00	
407	"407"	  168.00	  255.00	   56.00	
408	"408"	  224.00	  255.00	  224.00	
409	"409"	  126.00	  154.00	  182.00	
410	"410"	   70.00	   98.00	   42.00	
411	"411"	   84.00	  224.00	   56.00	
412	"412"	  238.00	  154.00	  182.00	
413	"413"	   70.00	  238.00	   14.00	
414	"414"	   56.00	    0.00	  112.00	
415	"415"	   84.00	  255.00	  196.00	
416	"416"	   42.00	   42.00	  238.00	
417	"417"	  255.00	  196.00	  196.00	
418	"418"	  196.00	  112.00	  224.00	
419	"419"	  210.00	  154.00	  126.00	
420	"420"	   35.00	   28.00	   35.00	
421	"421"	   14.00	   98.00	  126.00	
422	"422"	  196.00	   56.00	   28.00	
423	"423"	  140.00	  168.00	  140.00	
424	"424"	  112.00	   28.00	  140.00	
425	"425"	   56.00	  255.00	   28.00	
426	"426"	  168.00	   56.00	  168.00	
427	"427"	   56.00	  224.00	  255.00	
428	"428"	  112.00	    0.00	   28.00	
429	"429"	   70.00	   14.00	   14.00	
430	"430"	  112.00	  196.00	  112.00	
431	"431"	  168.00	  168.00	  196.00	
432	"432"	  196.00	  255.00	   84.00	
433	"433"	  255.00	  168.00	   84.00	
434	"434"	  224.00	   84.00	  255.00	
435	"435"	  255.00	   56.00	  196.00	
436	"436"	   77.00	   77.00	   77.00	
437	"437"	   14.00	   70.00	   70.00	
438	"438"	   42.00	   42.00	   14.00	
439	"439"	  154.00	   98.00	  126.00	
440	"440"	   21.00	   21.00	   21.00	
441	"441"	  140.00	   56.00	    0.00	
442	"442"	  154.00	  154.00	   14.00	
443	"443"	  255.00	    0.00	  112.00	
444	"444"	  140.00	   84.00	  255.00	
445	"445"	  182.00	   14.00	   70.00	
446	"446"	  224.00	   56.00	    0.00	
447	"447"	  126.00	  182.00	   70.00	
448	"448"	    0.00	  255.00	   28.00	
449	"449"	   84.00	  224.00	    0.00	
450	"450"	  140.00	   84.00	   28.00	
451	"451"	  140.00	  168.00	  196.00	
452	"452"	   14.00	  154.00	   14.00	
453	"453"	  224.00	  168.00	   28.00	
454	"454"	  196.00	  224.00	  224.00	
455	"455"	   56.00	  255.00	  255.00	
456	"456"	   98.00	  182.00	   42.00	
