CGATS.17
NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 2871
BEGIN_DATA
1	 19.18	 16.16	 23.22	  5.45	  9.07	 -9.36
2	 31.41	 55.56	 64.78	 28.79	-22.94	-13.94
3	127.60	 70.08	 86.29	 47.77	 39.97	  1.19
4	173.24	182.10	 80.17	 80.04	-19.50	 72.83
5	 20.92	 80.68	 84.56	 40.59	-77.20	 -9.86
6	 47.77	 55.75	 62.89	 31.10	 -3.67	 -8.57
7	 83.94	130.77	160.20	 60.44	-27.66	-23.81
8	184.79	 65.77	131.72	 55.81	 76.44	-16.26
9	 75.16	107.44	 98.55	 52.70	-28.65	  1.58
10	 63.21	 94.15	 86.83	 47.34	-28.41	  0.48
11	135.69	 91.98	 49.90	 55.22	 21.20	 48.03
12	136.35	 35.81	 43.64	 42.07	 65.62	 26.30
13	114.25	151.12	 95.26	 68.45	-35.59	 34.26
14	 87.12	 70.49	105.21	 42.23	 21.25	-22.70
15	134.28	135.39	124.39	 66.14	 -2.42	  7.55
16	 79.19	 70.26	 74.32	 40.98	  8.84	 -1.54
17	 59.84	118.96	160.14	 55.41	-35.66	-32.97
18	156.31	114.01	122.22	 63.13	 25.11	  2.90
19	151.12	116.51	 42.75	 62.32	 12.78	 77.25
20	 46.39	 51.79	 35.20	 28.98	 -7.99	 15.88
21	158.56	 82.39	 36.03	 55.48	 39.44	 66.31
22	 54.92	 55.01	 54.36	 31.54	  1.04	 -0.25
23	179.33	 39.87	 33.57	 50.28	 77.12	 52.51
24	120.36	117.03	115.79	 59.21	  2.06	  2.02
25	 26.23	 64.49	145.24	 32.07	  1.83	-63.05
26	 73.71	 95.76	140.92	 48.11	 -5.36	-33.03
27	 57.85	 55.37	 63.37	 31.88	  5.96	 -6.64
28	 78.02	 25.41	 34.50	 26.45	 45.41	 11.15
29	 22.83	 18.00	 20.49	  7.88	  9.76	 -2.13
30	 89.95	100.80	120.03	 50.78	 -3.50	-15.20
31	223.79	206.94	203.45	 89.08	  6.08	  5.12
32	148.49	134.90	107.48	 65.91	  2.61	 20.98
33	154.12	 47.08	 43.95	 46.06	 63.28	 36.48
34	 41.05	 35.57	 79.79	 21.23	 25.77	-39.15
35	103.32	 46.07	 62.86	 37.90	 44.74	  1.59
36	148.77	 46.10	 61.01	 46.51	 65.25	 17.39
37	 48.88	 60.54	161.67	 33.08	 33.59	-73.44
38	 14.19	 16.29	 14.65	  5.84	 -1.01	  1.45
39	111.28	 98.55	167.89	 54.45	 23.98	-40.39
40	 93.95	 80.03	 61.58	 46.69	  6.80	 19.31
41	 12.94	 32.56	 60.88	 16.96	-11.77	-33.16
42	 38.69	 31.07	 31.60	 20.00	  9.45	  1.89
43	 21.58	 69.58	108.52	 35.87	-33.90	-37.13
44	 22.15	 32.95	 24.21	 17.89	-18.37	  8.71
45	 15.15	 47.98	100.24	 25.82	-12.20	-48.65
46	 79.20	100.18	127.50	 51.77	-10.01	-21.95
47	 51.65	 43.43	135.72	 25.93	 51.06	-70.62
48	117.10	119.45	114.12	 60.81	 -2.67	  3.64
49	 29.12	 23.84	 34.42	 14.07	 11.02	-11.64
50	122.30	 49.87	 62.75	 42.93	 50.98	  9.56
51	 35.11	 36.41	 39.65	 21.20	  0.90	 -5.11
52	 61.91	 80.74	 81.41	 42.88	-15.88	 -4.72
53	121.39	120.12	 86.93	 61.14	 -4.99	 24.68
54	 97.67	 54.12	 75.68	 39.13	 36.91	 -7.21
55	144.37	143.23	 93.99	 69.33	 -7.87	 35.19
56	 18.73	 18.06	 17.16	  7.49	  1.11	  0.78
57	 49.36	100.52	183.43	 48.58	-13.61	-57.56
58	 71.27	138.52	137.43	 61.88	-52.92	 -6.77
59	162.20	 90.11	102.14	 57.98	 43.20	  7.76
60	 62.13	111.57	176.54	 52.91	-19.23	-46.49
61	 14.76	 20.88	 16.93	  8.38	-10.03	  3.97
62	 44.60	114.80	 96.14	 52.94	-71.06	  4.72
63	182.18	180.07	183.96	 80.97	  0.98	 -1.18
64	 41.36	 38.85	 29.84	 22.00	  2.63	 11.55
65	172.03	 52.40	 72.88	 50.81	 70.86	 16.48
66	 18.06	 19.67	 18.14	  7.67	 -2.88	  1.65
67	 91.98	122.77	 57.44	 57.62	-34.76	 50.17
68	145.64	146.49	135.40	 70.18	 -2.57	  7.03
69	 42.05	 88.47	 72.54	 44.21	-51.63	  5.73
70	 54.08	 97.73	112.62	 48.66	-33.77	-17.25
71	 87.05	149.34	 94.48	 66.70	-57.88	 30.98
72	 32.82	 14.60	 12.92	 10.85	 22.91	 12.07
73	 57.63	 41.49	 59.47	 27.85	 21.39	-13.37
74	188.31	196.65	 75.37	 85.43	-19.77	 89.28
75	145.95	102.72	 58.50	 59.91	 19.34	 46.41
76	 40.35	 59.79	 87.33	 33.13	 -8.51	-27.16
77	122.76	175.89	173.14	 77.00	-34.74	 -3.37
78	149.36	 36.74	 47.44	 45.47	 71.60	 27.21
79	 40.44	 40.88	 41.30	 24.82	  1.42	 -0.79
80	103.06	 99.26	 98.09	 54.02	  2.58	  1.93
81	205.72	138.36	 70.11	 75.03	 24.52	 65.41
82	143.43	 86.00	132.05	 55.34	 43.09	-19.26
83	133.90	 34.61	 28.43	 41.90	 63.13	 42.83
84	 12.46	 24.53	 44.13	 11.85	 -6.26	-26.70
85	182.36	166.55	123.87	 78.75	  0.81	 29.65
86	102.84	102.09	106.07	 54.10	  1.98	 -3.21
87	 98.42	 29.18	 43.51	 33.00	 54.38	 10.47
88	114.96	166.99	180.28	 73.13	-30.70	-14.15
89	183.05	 95.88	101.54	 62.62	 47.62	 14.65
90	189.60	130.57	118.31	 71.19	 27.46	 19.59
91	118.36	 73.75	153.87	 47.45	 48.97	-44.47
92	187.16	175.81	 60.27	 79.92	 -5.38	 97.69
93	105.01	153.20	148.16	 68.16	-34.15	 -3.28
94	193.83	152.32	163.30	 76.15	 21.92	  0.45
95	208.50	146.73	117.61	 76.39	 25.62	 30.17
96	 20.22	 42.58	 49.82	 21.45	-25.14	-13.30
97	 71.05	 80.39	 86.78	 43.21	 -5.39	 -7.17
98	152.52	122.25	 65.17	 64.28	  8.77	 51.48
99	164.91	120.56	185.14	 64.77	 35.31	-29.88
100	104.69	117.73	192.83	 57.89	  8.27	-45.53
101	190.73	132.18	135.71	 71.64	 29.46	  8.59
102	 22.92	 62.56	 34.57	 32.24	-60.96	 23.73
103	116.92	 56.19	133.46	 43.16	 60.77	-41.38
104	182.37	105.36	 65.59	 65.17	 35.63	 48.99
105	106.83	 36.39	 82.84	 35.88	 62.20	-19.09
106	225.40	228.23	234.08	 94.70	 -1.48	 -1.94
107	 90.80	100.85	 91.49	 52.48	 -9.27	  4.86
108	139.65	 98.10	105.22	 58.09	 26.34	  3.19
109	 15.75	 45.26	 34.19	 24.34	-51.10	  6.72
110	 36.49	 65.77	166.93	 34.69	 19.29	-74.38
111	106.23	 98.92	 94.02	 54.56	  3.53	  5.85
112	133.31	 35.51	 58.66	 42.03	 68.10	 10.65
113	 60.04	 52.38	 51.43	 32.79	  7.70	  2.94
114	 47.89	117.06	167.74	 55.09	-41.53	-39.72
115	 46.10	 46.72	 46.54	 28.11	  1.00	 -0.37
116	134.88	 35.51	 35.95	 42.20	 64.45	 33.72
117	103.89	 55.93	137.85	 40.41	 56.89	-48.55
118	162.52	190.02	120.00	 82.25	-28.20	 41.41
119	 92.56	148.57	 65.47	 65.91	-55.16	 59.95
120	120.89	147.26	160.94	 68.80	-14.73	-11.35
121	156.76	168.82	 82.47	 76.68	-19.70	 61.27
122	 23.45	 42.63	 27.95	 22.32	-30.48	 12.20
123	 87.54	105.72	 50.61	 53.53	-24.57	 46.34
124	 98.58	 57.41	 34.21	 40.43	 26.65	 36.66
125	111.75	111.52	106.57	 57.73	 -0.17	  3.27
126	 88.70	 97.97	 61.95	 50.94	-14.02	 28.55
127	109.08	 94.05	 59.13	 52.02	  4.05	 32.72
128	 69.72	 50.59	 95.12	 32.44	 29.85	-32.93
129	 25.56	 93.54	102.44	 45.59	-71.89	-14.56
130	 27.37	 21.44	 39.48	 12.12	 16.56	-19.99
131	 31.54	 84.25	 46.59	 40.98	-71.78	 28.33
