CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 0"
DESCRIPTOR	"Chart 522 Patches"
FILTER	""
CREATED		"2020-05-25T13:37:56"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	522
BEGIN_DATA
142	H16	  182.00	   36.00	   72.00	
143	H17	  218.00	   36.00	   72.00	
144	H18	  255.00	   36.00	   72.00	
145	I1	    0.00	   72.00	   72.00	
146	I2	   36.00	   72.00	   72.00	
147	I3	   72.00	   72.00	   72.00	
148	I4	  109.00	   72.00	   72.00	
149	I5	  145.00	   72.00	   72.00	
150	I6	  182.00	   72.00	   72.00	
151	I7	  218.00	   72.00	   72.00	
152	I8	  255.00	   72.00	   72.00	
153	I9	    0.00	  109.00	   72.00	
154	I10	   36.00	  109.00	   72.00	
155	I11	   72.00	  109.00	   72.00	
156	I12	  109.00	  109.00	   72.00	
157	I13	  145.00	  109.00	   72.00	
158	I14	  182.00	  109.00	   72.00	
159	I15	  218.00	  109.00	   72.00	
160	I16	  255.00	  109.00	   72.00	
161	I17	    0.00	  145.00	   72.00	
162	I18	   36.00	  145.00	   72.00	
163	J1	   72.00	  145.00	   72.00	
164	J2	  109.00	  145.00	   72.00	
165	J3	  145.00	  145.00	   72.00	
166	J4	  182.00	  145.00	   72.00	
167	J5	  218.00	  145.00	   72.00	
168	J6	  255.00	  145.00	   72.00	
169	J7	    0.00	  182.00	   72.00	
170	J8	   36.00	  182.00	   72.00	
171	J9	   72.00	  182.00	   72.00	
172	J10	  109.00	  182.00	   72.00	
173	J11	  145.00	  182.00	   72.00	
174	J12	  182.00	  182.00	   72.00	
175	J13	  218.00	  182.00	   72.00	
176	J14	  255.00	  182.00	   72.00	
177	J15	    0.00	  218.00	   72.00	
178	J16	   36.00	  218.00	   72.00	
179	J17	   72.00	  218.00	   72.00	
180	J18	  109.00	  218.00	   72.00	
181	K1	  145.00	  218.00	   72.00	
182	K2	  182.00	  218.00	   72.00	
183	K3	  218.00	  218.00	   72.00	
184	K4	  255.00	  218.00	   72.00	
185	K5	    0.00	  255.00	   72.00	
186	K6	   36.00	  255.00	   72.00	
187	K7	   72.00	  255.00	   72.00	
188	K8	  109.00	  255.00	   72.00	
189	K9	  145.00	  255.00	   72.00	
190	K10	  182.00	  255.00	   72.00	
191	K11	  218.00	  255.00	   72.00	
192	K12	  255.00	  255.00	   72.00	
193	K13	    0.00	    0.00	  109.00	
194	K14	   36.00	    0.00	  109.00	
195	K15	   72.00	    0.00	  109.00	
196	K16	  109.00	    0.00	  109.00	
197	K17	  145.00	    0.00	  109.00	
198	K18	  182.00	    0.00	  109.00	
199	L1	  218.00	    0.00	  109.00	
200	L2	  255.00	    0.00	  109.00	
201	L3	    0.00	   36.00	  109.00	
202	L4	   36.00	   36.00	  109.00	
203	L5	   72.00	   36.00	  109.00	
204	L6	  109.00	   36.00	  109.00	
205	L7	  145.00	   36.00	  109.00	
206	L8	  182.00	   36.00	  109.00	
207	L9	  218.00	   36.00	  109.00	
208	L10	  255.00	   36.00	  109.00	
209	L11	    0.00	   72.00	  109.00	
210	L12	   36.00	   72.00	  109.00	
211	L13	   72.00	   72.00	  109.00	
212	L14	  109.00	   72.00	  109.00	
213	L15	  145.00	   72.00	  109.00	
214	L16	  182.00	   72.00	  109.00	
215	L17	  218.00	   72.00	  109.00	
216	L18	  255.00	   72.00	  109.00	
217	M1	    0.00	  109.00	  109.00	
218	M2	   36.00	  109.00	  109.00	
219	M3	   72.00	  109.00	  109.00	
220	M4	  109.00	  109.00	  109.00	
221	M5	  145.00	  109.00	  109.00	
222	M6	  182.00	  109.00	  109.00	
223	M7	  218.00	  109.00	  109.00	
224	M8	  255.00	  109.00	  109.00	
225	M9	    0.00	  145.00	  109.00	
226	M10	   36.00	  145.00	  109.00	
227	M11	   72.00	  145.00	  109.00	
228	M12	  109.00	  145.00	  109.00	
229	M13	  145.00	  145.00	  109.00	
230	M14	  182.00	  145.00	  109.00	
231	M15	  218.00	  145.00	  109.00	
232	M16	  255.00	  145.00	  109.00	
233	M17	    0.00	  182.00	  109.00	
234	M18	   36.00	  182.00	  109.00	
235	N1	   72.00	  182.00	  109.00	
236	N2	  109.00	  182.00	  109.00	
237	N3	  145.00	  182.00	  109.00	
238	N4	  182.00	  182.00	  109.00	
239	N5	  218.00	  182.00	  109.00	
240	N6	  255.00	  182.00	  109.00	
241	N7	    0.00	  218.00	  109.00	
242	N8	   36.00	  218.00	  109.00	
243	N9	   72.00	  218.00	  109.00	
244	N10	  109.00	  218.00	  109.00	
245	N11	  145.00	  218.00	  109.00	
246	N12	  182.00	  218.00	  109.00	
247	N13	  218.00	  218.00	  109.00	
248	N14	  255.00	  218.00	  109.00	
249	N15	    0.00	  255.00	  109.00	
250	N16	   36.00	  255.00	  109.00	
251	N17	   72.00	  255.00	  109.00	
