CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1004797"
DESCRIPTOR	"Chart 522 Patches"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-05-23T20:32:52"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	522
BEGIN_DATA
9	A9	    0.00	   36.00	    0.00	 0.00857	 0.01171	 0.00846	   10.34	   -9.96	    1.96	    0.0113	    0.0090	    0.0093	    0.0084	    0.0087	    0.0091	    0.0094	    0.0095	    0.0093	    0.0100	    0.0112	    0.0133	    0.0162	    0.0178	    0.0178	    0.0167	    0.0153	    0.0133	    0.0110	    0.0093	    0.0083	    0.0079	    0.0074	    0.0073	    0.0072	    0.0072	    0.0072	    0.0076	    0.0081	    0.0083	    0.0081	    0.0080	    0.0077	    0.0077	    0.0087	    0.0105	
10	A10	   36.00	   36.00	    0.00	 0.01714	 0.01727	 0.00845	   13.99	    1.23	    8.27	    0.0093	    0.0085	    0.0096	    0.0101	    0.0096	    0.0099	    0.0096	    0.0093	    0.0092	    0.0097	    0.0109	    0.0130	    0.0154	    0.0166	    0.0165	    0.0166	    0.0166	    0.0163	    0.0160	    0.0168	    0.0182	    0.0191	    0.0193	    0.0193	    0.0199	    0.0207	    0.0218	    0.0235	    0.0251	    0.0264	    0.0269	    0.0269	    0.0270	    0.0274	    0.0294	    0.0324	
11	A11	   72.00	   36.00	    0.00	 0.03902	 0.03098	 0.00931	   20.43	   14.62	   17.95	    0.0124	    0.0123	    0.0125	    0.0118	    0.0114	    0.0109	    0.0103	    0.0098	    0.0100	    0.0105	    0.0118	    0.0144	    0.0180	    0.0202	    0.0212	    0.0213	    0.0199	    0.0185	    0.0191	    0.0242	    0.0373	    0.0499	    0.0536	    0.0549	    0.0565	    0.0590	    0.0624	    0.0667	    0.0711	    0.0742	    0.0755	    0.0760	    0.0759	    0.0768	    0.0812	    0.0888	
12	A12	  109.00	   36.00	    0.00	 0.07195	 0.04936	 0.00993	   26.55	   27.09	   27.53	    0.0133	    0.0156	    0.0141	    0.0129	    0.0122	    0.0113	    0.0111	    0.0107	    0.0105	    0.0110	    0.0125	    0.0155	    0.0197	    0.0223	    0.0235	    0.0237	    0.0211	    0.0189	    0.0199	    0.0292	    0.0602	    0.0959	    0.1086	    0.1124	    0.1162	    0.1209	    0.1272	    0.1347	    0.1424	    0.1476	    0.1493	    0.1494	    0.1486	    0.1506	    0.1582	    0.1708	
13	A13	  145.00	   36.00	    0.00	 0.11811	 0.07506	 0.01037	   32.93	   37.40	   37.86	    0.0159	    0.0148	    0.0141	    0.0139	    0.0136	    0.0126	    0.0117	    0.0108	    0.0106	    0.0110	    0.0126	    0.0161	    0.0212	    0.0244	    0.0269	    0.0274	    0.0233	    0.0200	    0.0215	    0.0356	    0.0900	    0.1595	    0.1865	    0.1943	    0.2009	    0.2087	    0.2186	    0.2301	    0.2418	    0.2493	    0.2518	    0.2510	    0.2494	    0.2516	    0.2626	    0.2812	
14	A14	  182.00	   36.00	    0.00	 0.18879	 0.11339	 0.01048	   40.15	   48.33	   50.15	    0.0175	    0.0160	    0.0151	    0.0147	    0.0130	    0.0124	    0.0116	    0.0109	    0.0106	    0.0110	    0.0124	    0.0161	    0.0221	    0.0262	    0.0300	    0.0308	    0.0254	    0.0213	    0.0232	    0.0427	    0.1299	    0.2535	    0.3075	    0.3247	    0.3361	    0.3473	    0.3603	    0.3749	    0.3895	    0.3994	    0.4033	    0.4034	    0.4033	    0.4065	    0.4186	    0.4399	
15	A15	  218.00	   36.00	    0.00	 0.27922	 0.16211	 0.01038	   47.25	   58.17	   62.54	    0.0219	    0.0168	    0.0163	    0.0137	    0.0129	    0.0121	    0.0110	    0.0104	    0.0101	    0.0108	    0.0122	    0.0164	    0.0234	    0.0289	    0.0341	    0.0352	    0.0286	    0.0234	    0.0257	    0.0509	    0.1746	    0.3667	    0.4626	    0.4973	    0.5156	    0.5294	    0.5437	    0.5589	    0.5739	    0.5844	    0.5907	    0.5939	    0.5968	    0.6022	    0.6125	    0.6279	
16	A16	  255.00	   36.00	    0.00	 0.40606	 0.22753	 0.01140	   54.82	   69.53	   74.11	    0.0165	    0.0162	    0.0157	    0.0156	    0.0146	    0.0132	    0.0126	    0.0116	    0.0111	    0.0115	    0.0131	    0.0172	    0.0246	    0.0316	    0.0378	    0.0391	    0.0316	    0.0258	    0.0283	    0.0586	    0.2177	    0.4921	    0.6660	    0.7504	    0.7914	    0.8112	    0.8246	    0.8354	    0.8455	    0.8538	    0.8614	    0.8676	    0.8743	    0.8797	    0.8808	    0.8816	
17	A17	    0.00	   72.00	    0.00	 0.01252	 0.02184	 0.01189	   16.42	  -22.23	    7.23	    0.0083	    0.0106	    0.0120	    0.0113	    0.0114	    0.0119	    0.0115	    0.0115	    0.0118	    0.0131	    0.0154	    0.0225	    0.0343	    0.0423	    0.0431	    0.0392	    0.0328	    0.0252	    0.0182	    0.0137	    0.0115	    0.0103	    0.0095	    0.0091	    0.0090	    0.0090	    0.0093	    0.0097	    0.0103	    0.0108	    0.0106	    0.0101	    0.0095	    0.0098	    0.0111	    0.0139	
18	A18	   36.00	   72.00	    0.00	 0.02431	 0.02987	 0.01042	   19.99	   -8.52	   15.48	    0.0063	    0.0081	    0.0100	    0.0099	    0.0103	    0.0098	    0.0103	    0.0103	    0.0103	    0.0114	    0.0136	    0.0193	    0.0290	    0.0358	    0.0377	    0.0375	    0.0363	    0.0334	    0.0299	    0.0276	    0.0265	    0.0258	    0.0249	    0.0243	    0.0246	    0.0255	    0.0275	    0.0304	    0.0336	    0.0354	    0.0356	    0.0349	    0.0338	    0.0337	    0.0369	    0.0429	
19	B1	   72.00	   72.00	    0.00	 0.04598	 0.04629	 0.01216	   25.65	    1.79	   22.78	    0.0109	    0.0121	    0.0114	    0.0116	    0.0117	    0.0120	    0.0126	    0.0123	    0.0124	    0.0135	    0.0156	    0.0205	    0.0299	    0.0385	    0.0426	    0.0448	    0.0456	    0.0450	    0.0444	    0.0464	    0.0504	    0.0535	    0.0541	    0.0545	    0.0559	    0.0582	    0.0616	    0.0659	    0.0705	    0.0737	    0.0750	    0.0750	    0.0751	    0.0758	    0.0805	    0.0876	
20	B2	  109.00	   72.00	    0.00	 0.08654	 0.07354	 0.01238	   32.60	   14.38	   34.46	    0.0106	    0.0126	    0.0121	    0.0122	    0.0124	    0.0123	    0.0117	    0.0113	    0.0118	    0.0128	    0.0153	    0.0227	    0.0367	    0.0487	    0.0546	    0.0570	    0.0555	    0.0520	    0.0526	    0.0639	    0.0893	    0.1112	    0.1175	    0.1193	    0.1225	    0.1273	    0.1338	    0.1417	    0.1496	    0.1550	    0.1570	    0.1569	    0.1564	    0.1579	    0.1657	    0.1788	
21	B3	  145.00	   72.00	    0.00	 0.14120	 0.10663	 0.01375	   39.01	   26.45	   43.75	    0.0193	    0.0153	    0.0155	    0.0153	    0.0145	    0.0139	    0.0133	    0.0128	    0.0128	    0.0139	    0.0164	    0.0239	    0.0400	    0.0552	    0.0642	    0.0674	    0.0621	    0.0555	    0.0573	    0.0786	    0.1353	    0.1898	    0.2068	    0.2115	    0.2172	    0.2249	    0.2348	    0.2470	    0.2589	    0.2667	    0.2693	    0.2685	    0.2672	    0.2691	    0.2807	    0.3003	
22	B4	  182.00	   72.00	    0.00	 0.21631	 0.15107	 0.01403	   45.78	   37.52	   55.09	    0.0158	    0.0174	    0.0156	    0.0151	    0.0143	    0.0138	    0.0133	    0.0130	    0.0129	    0.0138	    0.0161	    0.0235	    0.0415	    0.0605	    0.0740	    0.0788	    0.0705	    0.0614	    0.0644	    0.0963	    0.1921	    0.2947	    0.3315	    0.3428	    0.3523	    0.3631	    0.3761	    0.3911	    0.4059	    0.4161	    0.4198	    0.4204	    0.4206	    0.4239	    0.4369	    0.4592	
